id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum
SenSanders,SenSanders,,5525,0,5525,6507.0,0.0,6507.0,0.0,0.0,0.0,0.0,0,0,0
Demos_Org,Demos_Org,,71,5,76,73.0,6.0,79.0,13.0,0.24968367777309153,0.3273094304344308,35543.191663762496,0,0,325
fightfor15,fightfor15,,3436,166,3602,5364.0,393.0,5757.0,12.0,0.3256198347107438,0.5300871294526115,5199445.606728717,0,0,324
Kaimandante,Kaimandante,,1042,0,1042,1051.0,0.0,1051.0,0.0,0.0,0.0,0.0,0,0,334
EconomicPolicy,EconomicPolicy,,2291,0,2291,2379.0,0.0,2379.0,0.0,0.0,0.0,0.0,0,0,36
jwjnational,jwjnational,,247,9,256,286.0,11.0,297.0,13.0,0.2544123977615153,0.33855135276455106,92943.32064512026,0,0,324
PascoRevolution,PascoRevolution,,84,1,85,100.0,1.0,101.0,1.0,1.0,1.0,12213.0,0,0,222
DeepSouthProud,DeepSouthProud,,54,0,54,55.0,0.0,55.0,0.0,0.0,0.0,0.0,17,0,357
standup_kc,standup_kc,,215,10,225,259.0,16.0,275.0,13.0,0.2532133676092545,0.3375361243381553,67309.84975333276,0,0,324
Show_Me15,Show_Me15,,1117,23,1140,2012.0,48.0,2060.0,13.0,0.2609271523178808,0.35913792918869125,571843.6075013218,0,0,324
OurPoliticalRev,OurPoliticalRev,,60,8,68,66.0,9.0,75.0,13.0,0.2527754056362084,0.3355583043083048,14903.842035826774,0,0,365
Marc_Perrone,Marc_Perrone,,411,4,415,438.0,4.0,442.0,14.0,0.21467490010897203,0.27163557442745184,202527.68180801926,0,0,324
ATLRaiseUp,ATLRaiseUp,,304,3,307,422.0,10.0,432.0,13.0,0.246661101836394,0.3227951687342553,81900.57002870111,0,0,324
zachhaller,zachhaller,,142,5,147,155.0,6.0,161.0,14.0,0.20890774125132555,0.2601296522616313,42693.64372577242,0,0,324
Fightfor15LA,Fightfor15LA,,985,29,1014,1402.0,81.0,1483.0,13.0,0.2637215528781794,0.36680854396590507,506926.4394304443,0,0,324
RaiseUpfor15,RaiseUpfor15,,1144,21,1165,1699.0,31.0,1730.0,13.0,0.25796595373199477,0.35217233415203025,466094.1482314561,0,0,324
NorCalFF15,NorCalFF15,,285,26,311,370.0,70.0,440.0,13.0,0.26173604960141716,0.36305783894616445,131796.7371937403,0,0,324
syashingo,syashingo,,143,0,143,191.0,0.0,191.0,0.0,0.0,0.0,0.0,91,0,228
BernieTheBest1,BernieTheBest1,,58,0,58,83.0,0.0,83.0,0.0,0.0,0.0,0.0,0,0,456
SenWarren2020,SenWarren2020,,73,3,76,93.0,3.0,96.0,15.0,0.17587939698492464,0.20893778956804235,14037.045565733873,0,0,485
fightfor15texas,fightfor15texas,,303,10,313,428.0,37.0,465.0,13.0,0.25452196382428943,0.3396511835598136,71570.57629073427,0,0,324
People4Bernie,People4Bernie,,237,75,312,271.0,121.0,392.0,12.0,0.29728370221327965,0.4313561649856075,540129.5026130372,0,0,324
mohammadshaikh_,mohammadshaikh_,,67,0,67,67.0,0.0,67.0,0.0,0.0,0.0,0.0,2,2,516
chifightfor15,chifightfor15,,2318,27,2345,3286.0,54.0,3340.0,13.0,0.26138876603272887,0.3636218547386065,1098586.2750567053,0,0,324
FightFor15FL,FightFor15FL,,558,22,580,894.0,67.0,961.0,13.0,0.2558441558441558,0.3508831551978767,247196.90797368943,0,0,324
UR_Ninja,UR_Ninja,,598,0,598,686.0,0.0,686.0,0.0,0.0,0.0,0.0,0,0,89
FF15ChildCare,FF15ChildCare,,220,15,235,318.0,22.0,340.0,13.0,0.2601232394366197,0.3532157633680484,99915.45006137539,0,0,324
CaliforniaLabor,CaliforniaLabor,,108,4,112,123.0,5.0,128.0,14.0,0.20972320794889993,0.2598798738392641,35134.43935191742,0,0,324
MarkRuffalo,MarkRuffalo,,622,0,622,622.0,0.0,622.0,0.0,0.0,0.0,0.0,0,0,16
ChrisJZullo,ChrisJZullo,,545,1,546,651.0,2.0,653.0,0.0,0.0,0.0,0.0,0,0,32
bradlander,bradlander,,73,4,77,86.0,5.0,91.0,14.0,0.21047008547008547,0.261805584902031,53657.7210458885,0,0,324
RevDrBarber,RevDrBarber,,1169,0,1169,1171.0,0.0,1171.0,0.0,0.0,0.0,0.0,0,0,65
aequitas1500,aequitas1500,,83,9,92,95.0,15.0,110.0,13.0,0.2510566356720203,0.33209963437236206,46801.61266788767,91,0,700
CWAUnion,CWAUnion,,65,2,67,73.0,3.0,76.0,13.0,0.24584026622296173,0.3201160937201549,12365.020741582406,0,0,324
OurRevolution2,OurRevolution2,,136,2,138,191.0,2.0,193.0,14.0,0.20773286467486818,0.25553292355322743,36510.060687381105,0,0,324
1alyssakang,1alyssakang,,286,2,288,294.0,2.0,296.0,13.0,0.2459425717852684,0.320398101616376,71872.32103268262,0,0,324
ReelectBernie,ReelectBernie,,112,0,112,164.0,0.0,164.0,0.0,0.0,0.0,0.0,0,0,363
32BJSEIU,32BJSEIU,,325,30,355,472.0,42.0,514.0,13.0,0.26645626690712354,0.37450735953274095,406185.9900419133,0,0,324
RebootDNC,RebootDNC,,54,0,54,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0,0,459
jillian4council,jillian4council,,61,1,62,65.0,1.0,66.0,1.0,1.0,1.0,44.519047619047626,0,0,75
LawlessPirate,LawlessPirate,,356,1,357,358.0,1.0,359.0,0.0,0.0,0.0,0.0,17,0,105
RoseAnnDeMoro,RoseAnnDeMoro,,442,0,442,486.0,0.0,486.0,0.0,0.0,0.0,0.0,0,0,6
BernieCrats1,BernieCrats1,,143,0,143,215.0,0.0,215.0,0.0,0.0,0.0,0.0,0,0,34
SenWarren,SenWarren,,698,0,698,699.0,0.0,699.0,0.0,0.0,0.0,0.0,0,0,24
KamalaHarris,KamalaHarris,,97,0,97,98.0,0.0,98.0,0.0,0.0,0.0,0.0,0,0,338
FastFoodForward,FastFoodForward,,305,27,332,402.0,69.0,471.0,13.0,0.2620842572062084,0.3640730673725603,183471.29240703757,0,0,324
squidartdotcom,squidartdotcom,,72,5,77,87.0,6.0,93.0,13.0,0.25042372881355934,0.3295553008750982,18679.220918353745,0,0,324
larryelder,larryelder,,595,0,595,618.0,0.0,618.0,0.0,0.0,0.0,0.0,17,0,453
AFSCME,AFSCME,,158,5,163,196.0,5.0,201.0,13.0,0.25052988554472233,0.3272992377053295,81155.65247286858,0,0,324
Detroit_15,Detroit_15,,275,6,281,375.0,12.0,387.0,13.0,0.2488421052631579,0.3289147400822532,65331.795146597535,0,0,324
MisterMetokur,MisterMetokur,,141,0,141,141.0,0.0,141.0,0.0,0.0,0.0,0.0,17,0,894
JamieEldridgeMA,JamieEldridgeMA,,65,13,78,81.0,15.0,96.0,13.0,0.22428842504743832,0.28254861325927305,208277.43316662687,0,0,324
DerrickQLewis,DerrickQLewis,,1115,0,1115,1219.0,0.0,1219.0,0.0,0.0,0.0,0.0,0,0,73
RobinHoodTax,RobinHoodTax,,153,6,159,184.0,8.0,192.0,13.0,0.250848896434635,0.3306833324599826,45515.38462298833,0,0,324
TheMarkRomano,TheMarkRomano,,850,0,850,950.0,0.0,950.0,0.0,0.0,0.0,0.0,17,0,93
scrowder,scrowder,,847,0,847,923.0,0.0,923.0,0.0,0.0,0.0,0.0,17,0,108
michellemalkin,michellemalkin,,252,0,252,252.0,0.0,252.0,0.0,0.0,0.0,0.0,17,0,150
SEIU,SEIU,,109,36,145,124.0,65.0,189.0,13.0,0.26986301369863014,0.3844058366901013,54829.29608661199,0,0,324
BenSpielberg,BenSpielberg,,127,5,132,127.0,5.0,132.0,13.0,0.24728033472803349,0.325276838221001,30002.19478665637,0,0,324
FightFor15,FightFor15,,69,0,69,69.0,0.0,69.0,0.0,0.0,0.0,0.0,0,0,38
fightfor15mass,fightfor15mass,,358,27,385,445.0,57.0,502.0,13.0,0.2669376693766938,0.37473296584971777,311673.90902781754,0,0,324
FightFor15PA,FightFor15PA,,189,16,205,273.0,26.0,299.0,13.0,0.26081200353045014,0.3551334170623517,131074.4406198059,0,0,324
Latinos4Bernie,Latinos4Bernie,,160,2,162,160.0,2.0,162.0,15.0,0.17925386715195632,0.2135124229032862,25023.27327950628,0,0,324
MCorreaKHOU,MCorreaKHOU,,65,0,65,70.0,0.0,70.0,0.0,0.0,0.0,0.0,17,0,225
GoodAirports,GoodAirports,,247,47,294,403.0,94.0,497.0,13.0,0.27110091743119263,0.39368389647577534,394786.1960968187,0,0,324
somethingldsay,somethingldsay,,57,0,57,57.0,0.0,57.0,0.0,0.0,0.0,0.0,17,0,133
TexasObserver,TexasObserver,,65,1,66,67.0,1.0,68.0,1.0,1.0,1.0,2569.569322448603,0,0,66
mnnoc,mnnoc,,68,5,73,83.0,8.0,91.0,14.0,0.20033898305084746,0.2446756195487155,42325.45517558535,0,0,324
DemSocialists,DemSocialists,,226,12,238,271.0,19.0,290.0,12.0,0.2680272108843537,0.34831289691695866,86108.77080701833,0,0,324
AFLCIO,AFLCIO,,252,14,266,267.0,22.0,289.0,13.0,0.2600087989441267,0.35056488914357015,130735.6725958506,0,0,324
MNAFLCIO,MNAFLCIO,,53,1,54,56.0,2.0,58.0,14.0,0.19972963839134844,0.23988148531295697,16412.402400936084,0,0,324
democracynow,democracynow,,220,0,220,237.0,0.0,237.0,0.0,0.0,0.0,0.0,0,0,5
pragmactivist,pragmactivist,,173,22,195,192.0,28.0,220.0,12.0,0.2807600950118765,0.37250111704426486,82431.261392937,0,0,324
15andaUnion,15andaUnion,,53,7,60,59.0,15.0,74.0,13.0,0.2554019014693172,0.33877695908152816,7894.017436753201,0,0,324
Tinawanis,Tinawanis,,55,0,55,55.0,0.0,55.0,0.0,0.0,0.0,0.0,17,0,730
TheNewThinker,TheNewThinker,,174,1,175,212.0,1.0,213.0,13.0,0.24584026622296173,0.3195520779277127,64775.323439093954,0,0,324
Tim_Canova,Tim_Canova,,126,2,128,126.0,2.0,128.0,14.0,0.2072103605180259,0.2526640214140207,28911.82661572756,0,0,398
DerenicByrd,DerenicByrd,,295,4,299,297.0,4.0,301.0,14.0,0.20260541652382585,0.24579156508090455,123940.43111343321,0,0,324
ajplus,ajplus,,252,0,252,252.0,0.0,252.0,0.0,0.0,0.0,0.0,0,0,578
acbowen,acbowen,,80,0,80,94.0,0.0,94.0,0.0,0.0,0.0,0.0,0,0,200
RaiseUpMA,RaiseUpMA,,162,16,178,257.0,30.0,287.0,13.0,0.2593242650285213,0.3530183578406933,162665.27576690362,0,0,324
ryanstopera,ryanstopera,,113,1,114,113.0,1.0,114.0,13.0,0.24584026622296173,0.3195520779277127,53610.91011144976,0,0,324
LauraKMM,LauraKMM,,63,5,68,65.0,8.0,73.0,14.0,0.198989898989899,0.24253235953743524,41259.46858802958,0,0,324
itsRamel,itsRamel,,109,0,109,109.0,0.0,109.0,0.0,0.0,0.0,0.0,0,0,1514
seiufl,seiufl,,77,20,97,95.0,32.0,127.0,13.0,0.25785340314136124,0.35440825390064035,66820.30350427731,0,0,324
NCFaculty,NCFaculty,,149,0,149,157.0,0.0,157.0,0.0,0.0,0.0,0.0,0,0,53
Teamsters,Teamsters,,58,16,74,70.0,29.0,99.0,13.0,0.2587565674255692,0.3515519167803437,19689.707294496515,0,0,324
NelpNews,NelpNews,,63,2,65,81.0,2.0,83.0,13.0,0.24707357859531773,0.3226823655757669,18254.13633295367,0,0,324
SEIULocal1,SEIULocal1,,67,10,77,87.0,20.0,107.0,14.0,0.2206870799103809,0.2904293863684721,74138.43319920277,0,0,324
alexkotch,alexkotch,,54,1,55,54.0,1.0,55.0,1.0,1.0,1.0,109.0,0,0,1338
aMustReid,aMustReid,,70,4,74,78.0,7.0,85.0,14.0,0.2179203539823009,0.2793464760469831,37034.901928962034,0,0,324
TomSteyer,TomSteyer,,65,1,66,67.0,1.0,68.0,1.0,1.0,1.0,12221.0,0,0,318
TheNewDeal,TheNewDeal,,252,0,252,279.0,0.0,279.0,0.0,0.0,0.0,0.0,0,0,21
The_Gambit,The_Gambit,,52,0,52,66.0,0.0,66.0,0.0,0.0,0.0,0.0,0,0,262
smugjitsu,smugjitsu,,58,4,62,58.0,6.0,64.0,14.0,0.20821629213483145,0.2572969657286683,30673.788060638904,0,0,1284
MattWalshBlog,MattWalshBlog,,102,0,102,102.0,0.0,102.0,0.0,0.0,0.0,0.0,17,0,1159
JacquesLoveall,JacquesLoveall,,102,0,102,103.0,0.0,103.0,0.0,0.0,0.0,0.0,0,0,425
JessLivMo,JessLivMo,,146,16,162,151.0,16.0,167.0,13.0,0.25551232166018156,0.3454323454323458,108691.18531676116,0,0,324
MoveOn,MoveOn,,213,1,214,266.0,1.0,267.0,14.0,0.20715036803364878,0.25266852906446746,76918.88672327135,0,0,324
JCL_VT,JCL_VT,,107,0,107,112.0,0.0,112.0,0.0,0.0,0.0,0.0,0,0,52
LeahRBoss,LeahRBoss,,86,2,88,86.0,2.0,88.0,1.0,1.0,1.0,12458.5,17,0,134
LibsNoFun,LibsNoFun,,326,5,331,358.0,5.0,363.0,1.0,1.0,1.0,50831.0,17,0,103
MaryKayHenry,MaryKayHenry,,50,19,69,52.0,32.0,84.0,13.0,0.2620842572062084,0.3620144097301465,119111.19375143379,0,0,324
JimmyPrinceton,JimmyPrinceton,,81,0,81,81.0,0.0,81.0,0.0,0.0,0.0,0.0,17,0,190
ScottPresler,ScottPresler,,94,0,94,94.0,0.0,94.0,0.0,0.0,0.0,0.0,17,0,137
OccupyWallStNYC,OccupyWallStNYC,,131,13,144,150.0,16.0,166.0,13.0,0.2566217976552323,0.3464475738587419,69649.51761630047,0,0,324
GatorsEite23,GatorsEite23,,245,5,250,277.0,6.0,283.0,14.0,0.205422314911366,0.25437266249448937,93600.11312189892,0,0,324
jacobinmag,jacobinmag,,60,0,60,60.0,0.0,60.0,0.0,0.0,0.0,0.0,0,0,87
PhillyD,PhillyD,,52,0,52,52.0,0.0,52.0,0.0,0.0,0.0,0.0,17,0,4648
caroljsroth,caroljsroth,,112,0,112,114.0,0.0,114.0,0.0,0.0,0.0,0.0,17,0,94
figue32bj,figue32bj,,143,23,166,162.0,28.0,190.0,13.0,0.2598944591029024,0.36131744735805726,131663.18053111856,0,0,324
PCsBeard,PCsBeard,,73,1,74,75.0,1.0,76.0,1.0,1.0,1.0,73.0,17,0,1666
SenSherrodBrown,SenSherrodBrown,,115,0,115,115.0,0.0,115.0,0.0,0.0,0.0,0.0,0,0,68
MichaelSalamone,MichaelSalamone,,66,0,66,67.0,0.0,67.0,0.0,0.0,0.0,0.0,0,0,25
CTUL_TC,CTUL_TC,,68,9,77,100.0,10.0,110.0,13.0,0.2502116850127011,0.3314447537797794,74873.79339764871,0,0,324
jasiri_x,jasiri_x,,62,2,64,85.0,2.0,87.0,15.0,0.17521494218796324,0.20448011285574816,40977.92091895033,0,0,324
sierraclub,sierraclub,,55,4,59,59.0,7.0,66.0,13.0,0.24831932773109244,0.3239715445299204,11246.24421828812,0,0,324
afarnitano,afarnitano,,57,10,67,60.0,51.0,111.0,13.0,0.2563991323210412,0.34371209726539725,44434.24051228475,0,0,324
RT_America,RT_America,,111,0,111,118.0,0.0,118.0,0.0,0.0,0.0,0.0,0,0,1116
NicholsUprising,NicholsUprising,,166,0,166,166.0,0.0,166.0,0.0,0.0,0.0,0.0,0,0,30
emrutherford90,emrutherford90,,74,0,74,74.0,0.0,74.0,0.0,0.0,0.0,0.0,17,0,92
nychange,nychange,,55,5,60,59.0,5.0,64.0,14.0,0.21929499072356215,0.28306898027710126,11026.91217492831,0,0,324
BostonGlobe,BostonGlobe,,51,0,51,51.0,0.0,51.0,0.0,0.0,0.0,0.0,0,0,323
greenhousenyt,greenhousenyt,,81,0,81,85.0,0.0,85.0,0.0,0.0,0.0,0.0,0,0,40
KCTomDempsey,KCTomDempsey,,79,0,79,106.0,0.0,106.0,0.0,0.0,0.0,0.0,0,0,275
JoshNoneYaBiz,JoshNoneYaBiz,,63,5,68,72.0,5.0,77.0,2.0,0.8571428571428571,0.9166666666666666,49351.5,17,0,138
PghUNITED,PghUNITED,,80,2,82,102.0,2.0,104.0,14.0,0.20802534318901794,0.2543082035467815,32697.18639654353,0,0,324
scapelliti,scapelliti,,52,10,62,68.0,14.0,82.0,14.0,0.2154575282537368,0.27634913497857594,27349.53911384142,0,0,324
ms_erika74,ms_erika74,,73,1,74,73.0,1.0,74.0,0.0,0.0,0.0,0.0,17,0,90
PLANevada,PLANevada,,78,8,86,90.0,10.0,100.0,13.0,0.2469703301295445,0.32646127138512954,70293.61368911243,0,0,324
NBCNews,NBCNews,,76,0,76,79.0,0.0,79.0,0.0,0.0,0.0,0.0,0,0,313
masseydaniel,masseydaniel,,120,2,122,130.0,2.0,132.0,14.0,0.20421561852107808,0.24789050956563588,48320.70858943156,0,0,324
EdmondScofield,EdmondScofield,,50,0,50,52.0,0.0,52.0,0.0,0.0,0.0,0.0,17,0,903
LUCHA_AZ,LUCHA_AZ,,122,9,131,137.0,9.0,146.0,11.0,0.28773125608568645,0.3574450695009076,1483598.5654758925,0,0,324
lingling23,lingling23,,54,0,54,54.0,0.0,54.0,0.0,0.0,0.0,0.0,17,0,170
UAW,UAW,,104,0,104,112.0,0.0,112.0,0.0,0.0,0.0,0.0,0,0,56
SEIULouisiana,SEIULouisiana,,52,0,52,68.0,0.0,68.0,0.0,0.0,0.0,0.0,0,0,9
ChrisMurphyCT,ChrisMurphyCT,,131,0,131,131.0,0.0,131.0,0.0,0.0,0.0,0.0,0,0,70
Complex,Complex,,116,0,116,116.0,0.0,116.0,0.0,0.0,0.0,0.0,0,0,1648
AriseChicago,AriseChicago,,202,1,203,214.0,1.0,215.0,14.0,0.20729568572430726,0.25375627380703447,27613.002570469303,0,0,324
Shelly_Ruzicka,Shelly_Ruzicka,,60,0,60,60.0,0.0,60.0,0.0,0.0,0.0,0.0,0,0,13
JayStylus,JayStylus,,68,15,83,79.0,16.0,95.0,12.0,0.13561266636071592,0.1643589630899283,1371171.745909641,17,0,324
CommsUnited,CommsUnited,,80,5,85,112.0,10.0,122.0,14.0,0.20824524312896406,0.2591990262041016,41027.853369224664,0,0,324
