"","id","betweenesscentrality"
"2","fightfor15",5199445.60672872
"95","LUCHA_AZ",1483598.56547589
"19","chifightfor15",1098586.27505671
"8","Show_Me15",571843.607501322
"18","People4Bernie",540129.502613037
"12","Fightfor15LA",506926.439430444
"13","RaiseUpfor15",466094.148231456
"32","32BJSEIU",406185.990041913
"54","GoodAirports",394786.196096819
"51","fightfor15mass",311673.909027818
"20","FightFor15FL",247196.907973689
"9","Marc_Perrone",202527.681808019
"38","FastFoodForward",183471.292407038
"64","RaiseUpMA",162665.275766904
"14","NorCalFF15",131796.73719374
"82","figue32bj",131663.180531119
"52","FightFor15PA",131074.440619806
"56","AFLCIO",130735.672595851
"61","DerenicByrd",123940.431113433
"72","JessLivMo",108691.185316761
